Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count
2021,4361426,Justin Shorter,WR,Florida,SEC,0.064,1.753,3.7%,7,0,0,30.2%,51.3%,2.00
2021,4361493,Jack Plummer,QB,Purdue,Big Ten,0.321,2.176,14.8%,2,0,1,23.7%,46.8%,3.00
2021,4361529,Isaih Pacheco,RB,Rutgers,Big Ten,0.224,1.746,12.8%,2,0,1,25.7%,45.4%,1.00
2021,4361530,Artur Sitkowski,QB,Illinois,Big Ten,0.463,2.154,21.5%,1,1,1,21.5%,52.6%,2.00
2021,4361556,Aron Cruickshank,WR,Rutgers,Big Ten,0.078,1.746,4.5%,9,0,0,25.7%,45.4%,2.00
2021,4361653,Devin Leary,QB,NC State,ACC,0.589,1.720,34.2%,1,1,1,34.2%,57.8%,3.00
2021,4361655,Ricky Person Jr.,RB,NC State,ACC,0.199,1.720,11.6%,3,0,1,34.2%,57.8%,1.00
2021,4361660,Trent Pennix,TE,NC State,ACC,0.039,1.720,2.3%,13,0,0,34.2%,57.8%,3.00
2021,4361679,Devin Carter,WR,NC State,ACC,0.074,1.720,4.3%,6,0,0,34.2%,57.8%,3.00
2021,4361732,Shocky Jacques-Louis,WR,Pittsburgh,ACC,0.038,1.807,2.1%,11,0,0,32.2%,51.6%,1.00
2021,4361736,Joseph Scates,WR,Iowa State,Big 12,0.062,1.777,3.5%,6,0,0,31.9%,61.0%,1.00
2021,4361741,Brock Purdy,QB,Iowa State,Big 12,0.566,1.777,31.9%,1,1,1,31.9%,61.0%,1.00
2021,4361749,Jared Rus,TE,Iowa State,Big 12,0.018,1.777,1.0%,15,0,0,31.9%,61.0%,2.00
2021,4361762,Sean Shaw Jr.,WR,Iowa State,Big 12,0.028,1.777,1.6%,13,0,0,31.9%,61.0%,2.00
