Season,Id,Name,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns
2021,4034779,Ko Kieft,TE,Minnesota,B1G,0.018,0.052,0,0.014,0.018,0.015,0.022,0.01
2021,4034857,Patrick O'Brien,QB,Washington,PAC,0.03,0.039,0.017,0.014,0.018,0.086,0.018,0.056
2021,4034860,JD Spielman,WR,TCU,B12,0.042,0.071,0.02,0.016,0.071,0.056,0.039,0.048
2021,4034963,Rick Wells,WR,Florida,SEC,0.042,0.089,0.003,0.047,0.044,0.031,0.037,0.052
2021,4035065,Justin Rigg,TE,Kentucky,SEC,0.029,0.064,0,0.028,0.046,0.008,0.026,0.039
2021,4035100,Micah Wilson,WR,Missouri,SEC,0.019,0.009,0.028,0,0.014,0.043,0.019,0.018
2021,4035106,Dawson Downing,RB,Missouri,SEC,0.064,0.027,0.106,0.08,0.048,0.051,0.085,0.019
2021,4035167,Jarrett Guarantano,QB,Washington State,PAC,0.453,0.632,0.196,0.464,0.476,0.44,0.463,0.435
2021,4035169,Latrell Williams,WR,South Florida,AAC,0.053,0.124,0,0.056,0.062,0.042,0.044,0.07
2021,4035198,Brandon Edward Johnson,WR,UCF,AAC,0.054,0.111,0.003,0.032,0.051,0.108,0.036,0.093
2021,4035225,Nick Starkel,QB,San José State,MWC,0.573,0.879,0.019,0.532,0.51,0.727,0.519,0.671
2021,4035312,Anthony Brown,QB,Oregon,PAC,0.572,0.953,0.254,0.537,0.592,0.624,0.491,0.776
2021,4035319,Kobay White,WR,Boston College,ACC,0.031,0.067,0,0,0.083,0,0.019,0.077
2021,4035387,Reginald Todd,WR,Troy,SBC,0.073,0.118,0.015,0.054,0.076,0.12,0.06,0.104
2021,4035430,Lindsey Scott Jr.,QB,Nicholls,,0.544,0.74,0.328,0.5,0.578,0.621,0.477,0.66
2021,4035460,Zerrick Cooper,QB,Jacksonville State,,0.8,1,0.375,0.8,0.647,1,0.769,0.833
2021,4035493,Nate Craig-Myers,WR,UCF,AAC,0.015,0.039,0,0,0,0.022,0.007,0.029
2021,4035525,Zeb Noland,QB,South Carolina,SEC,0.254,0.51,0.046,0.201,0.235,0.355,0.181,0.385
2021,4035526,Chase Allen,TE,Iowa State,B12,0.051,0.092,0,0.05,0.074,0.02,0.048,0.057
2021,4035571,Tobias Enlow,WR,Central Arkansas,,0.016,0.023,0,0.036,0,0,0.026,0
2021,4035573,Grayson Gunter,TE,Southern Miss,CUSA,0.036,0.073,0,0.049,0.024,0.034,0.039,0.032
2021,4035576,T.J. Hammonds,RB,Arkansas,SEC,0.016,0,0.025,0,0.053,0,0,0.056
2021,4035583,Jordan Jones,WR,Cincinnati,AAC,0.027,0.056,0,0.022,0.032,0.033,0.014,0.063
2021,4035607,Amir Rasul,RB,Middle Tennessee,CUSA,0.119,0.02,0.232,0.124,0.124,0.084,0.148,0.065
2021,4035693,Velus Jones Jr.,WR,Tennessee,SEC,0.081,0.184,0.002,0.077,0.061,0.131,0.072,0.107
2021,4035695,Vavae Malepeai,RB,USC,PAC,0.138,0.033,0.287,0.138,0.143,0.135,0.14,0.135
2021,4035711,Jared Sparks,WR,UL Monroe,SBC,0.052,0.116,0,0.032,0.058,0.078,0.043,0.071
2021,4035721,Jackson Anthrop,WR,Purdue,B1G,0.094,0.11,0.066,0.117,0.089,0.055,0.1,0.077
2021,4035761,Jared Wyatt,WR,New Mexico State,Ind,0.076,0.125,0,0.094,0.046,0.081,0.082,0.065
2021,4035770,Jack Dunn,WR,Wisconsin,B1G,0.027,0.058,0.011,0.033,0.007,0.049,0.023,0.037
2021,4035776,Kendric Pryor,WR,Wisconsin,B1G,0.07,0.162,0.016,0.075,0.072,0.065,0.066,0.08
2021,4035818,Theo Howard,WR,Utah,PAC,0.031,0.06,0,0.023,0.014,0.069,0.034,0.022
2021,4035821,Matt Lynch,TE,Colorado,PAC,0.019,0.037,0,0.016,0.038,0,0.02,0.017
2021,4035837,Audie Omotosho,WR,East Carolina,AAC,0.071,0.141,0,0.07,0.056,0.088,0.059,0.096
2021,4035838,Jordan Wilson,TE,Florida State,ACC,0.025,0.049,0,0.028,0.032,0.013,0.027,0.023
