Season,Team,Conference,Points_for,Points_against
2021,Virginia,ACC,38,48
2021,Florida,SEC,23,24
2021,Sacramento State,Big Sky,27,7
2021,Louisiana,Sun Belt,42,14
2021,UCLA,Pac-12,62,33
2021,Syracuse,ACC,17,41
2021,BYU,FBS Independents,34,17
2021,UConn,FBS Independents,17,49
2021,Rice,Conference USA,28,38
2021,Temple,American Athletic,10,44
2021,Kansas,Big 12,28,31
2021,Stephen F. Austin,AWC,42,6
2021,Eastern Washington,Big Sky,42,28
2021,Baylor,Big 12,20,10
2021,Central Arkansas,AWC,3,24
2021,California,Pac-12,41,11
2021,Auburn,SEC,17,21
2021,North Texas,Conference USA,49,7
2021,Vanderbilt,SEC,17,31
2021,Oregon,Pac-12,7,38
2021,South Alabama,Sun Belt,14,60
2021,Virginia Tech,ACC,26,38
2021,Wyoming,Mountain West,44,17
2021,Oklahoma State,Big 12,23,0
2021,Northern Arizona,Big Sky,45,21
2021,New Mexico,Mountain West,0,37
2021,Missouri State,MVFC,55,24
2021,UL Monroe,Sun Belt,14,27
2021,Arizona State,Pac-12,10,24
2021,Colorado State,Mountain West,45,50
2021,Buffalo,Mid-American,3,20
2021,Western Michigan,Mid-American,42,21
2021,Tuskegee,SIAC,9,43
2021,Fresno State,Mountain West,40,9
2021,Ole Miss,SEC,31,21
2021,Eastern Michigan,Mid-American,10,31
2021,Ohio,Mid-American,10,21
2021,Boise State,Mountain West,16,27
2021,Kansas State,Big 12,17,22
2021,Utah State,Mountain West,35,10
2021,Iowa,Big Ten,28,21
2021,UTEP,Conference USA,25,42
2021,Cincinnati,American Athletic,35,13
2021,South Florida,American Athletic,13,17
2021,UNLV,Mountain West,14,48
2021,Coastal Carolina,Sun Belt,27,21
2021,Missouri,SEC,17,34
2021,Colorado,Pac-12,13,28
2021,TCU,Big 12,14,48
2021,North Carolina,ACC,30,34
2021,Washington State,Pac-12,40,13
2021,Ohio State,Big Ten,27,42
2021,Florida State,ACC,21,24
2021,Georgia,SEC,45,0
2021,Army,FBS Independents,31,16
2021,Maryland,Big Ten,40,16
2021,Texas Tech,Big 12,24,27
2021,Akron,Mid-American,14,49
2021,Sacred Heart,NEC,10,13
2021,Miami (OH),Mid-American,47,48
2021,Navy,American Athletic,38,14
2021,Wake Forest,ACC,41,10
2021,Houston,American Athletic,45,17
2021,Miami,ACC,47,10
2021,Grand Valley State University,GLIAC,20,54
2021,Louisiana Tech,Conference USA,31,35
2021,Notre Dame College,Mountain East,34,38
2021,Newberry,South Atlantic,10,13
2021,West Georgia,Gulf South,35,66
2021,New Haven,Northeast 10,7,10
2021,Northwest Missouri St,Mid America,28,9
2021,Nebraska-Kearney,Mid America,7,20
2021,UTSA,Conference USA,23,45
2021,Texas State,Sun Belt,24,22
2021,Charlotte,Conference USA,34,56
2021,Troy,Sun Belt,10,37
2021,Davidson,Pioneer,21,48
2021,Georgia Southern,Sun Belt,3,27
2021,Stephen F. Austin,AWC,28,35
2021,UC Davis,Big Sky,24,56
2021,Mississippi Valley State,SWAC,24,19
2021,Hawai'i,Mountain West,38,14
2021,Bemidji State,Northern Sun,6,55
2021,Massachusetts,FBS Independents,27,44
2021,Florida International,Conference USA,17,37
2021,Northwestern,Big Ten,14,47
2021,Indiana,Big Ten,7,44
2021,Alabama,SEC,24,22
2021,Penn State,Big Ten,27,30
2021,Western Kentucky,Conference USA,53,21
2021,Oregon State,Pac-12,29,38
2021,Vanderbilt,SEC,21,45
2021,Virginia Tech,ACC,29,24
2021,Northern Iowa,MVFC,9,19
2021,UT Martin,OVC,32,31
2021,Wisconsin,Big Ten,13,23
2021,Arizona,Pac-12,15,38
2021,UL Monroe,Sun Belt,16,21
2021,Tulsa,American Athletic,34,31
2021,Southern,SWAC,26,29
2021,Southern Illinois,MVFC,22,10
2021,West Virginia,Big 12,34,28
2021,Florida A&M,SWAC,14,38
2021,Texas A&M,SEC,24,27
2021,Middle Tennessee,Conference USA,27,17
2021,Pittsburgh,ACC,31,14
2021,Oklahoma,Big 12,33,37
2021,Kentucky,SEC,52,21
2021,Tulane,American Athletic,28,33
2021,Clemson,ACC,30,0
2021,Notre Dame,FBS Independents,45,14
2021,Nevada,Mountain West,52,10
2021,BYU,FBS Independents,35,31
2021,California,Pac-12,14,42
2021,Western Kentucky,Conference USA,41,49
2021,Holy Cross,Patriot,16,21
2021,Oregon,Pac-12,10,38
2021,Eastern Washington,Big Sky,41,57
2021,Baylor,Big 12,21,16
2021,Kent State,Mid-American,23,41
2021,Shepherd,Pennsylvania State Athletic,30,28
2021,Bowie State,CIAA,17,41
2021,Northwest Missouri St,Mid America,20,41
2021,Kennesaw State,Big South,31,32
2021,Angelo State,Lone Star,26,34
2021,Incarnate Word,Southland,42,49
2021,Utah State,Mountain West,46,13
2021,Southern Illinois,MVFC,7,38
2021,App State,Sun Belt,16,24
2021,Houston,American Athletic,20,35
2021,UT Martin,OVC,7,26
2021,Georgia,SEC,24,41
2021,Prairie View A&M,SWAC,10,27
2021,Michigan,Big Ten,42,3
2021,Pittsburgh,ACC,45,21
2021,South Dakota State,MVFC,24,19
2021,USC,Pac-12,14,24
2021,Colorado School Of Mines,Rocky Mountain,31,34
2021,East Tennessee State,Southern,3,27
2021,South Dakota State,MVFC,35,21
2021,Navy,American Athletic,17,13
2021,Shepherd,Pennsylvania State Athletic,7,55
2021,Montana State,Big Sky,42,19
2022,Western Kentucky,Conference USA,38,27
2022,Northwestern,Big Ten,31,28
2022,Florida Memorial University,,39,34
2022,Jacksonville State,Atlantic Sun,42,17
2022,UNLV,Mountain West,52,21
2022,Utah State,Mountain West,31,20
2022,Illinois,Big Ten,38,6
2022,Florida State,ACC,47,7
2022,Mercer,Southern,63,13
2022,Florida Atlantic,Conference USA,43,13
2022,Alabama State,SWAC,23,13
2022,North Carolina,ACC,56,24
2022,UTEP,Conference USA,13,31
2022,New Mexico State,FBS Independents,12,23
2022,Hawai'i,Mountain West,10,63
2022,New Mexico Highlands,Rocky Mountain,18,34
2022,Southern Connecticut State,Northeast 10,7,48
2022,Greeneville,South Atlantic,70,13
2022,Michigan Tech,GLIAC,23,13
2022,Campbell,Big South,29,10
2022,Indiana State,MVFC,17,14
2022,Chowan,CIAA,3,17
2022,Saginaw Valley State,GLIAC,72,0
2022,Ashland,Great Midwest Athletic,31,14
2022,Clarion,Pennsylvania State Athletic,14,21
2022,Bluefield State,Independent DII,35,34
2022,Akron,Mid-American,30,23
2022,Wagner,NEC,31,48
2022,PennWest California,Pennsylvania State Athletic,35,15
2022,New Hampshire,CAA,31,21
2022,Samford,Southern,27,17
2022,Furman,Southern,52,0
2022,Bemidji State,Northern Sun,34,37
2022,Pace,Northeast 10,31,16
2022,Northern State,Northern Sun,30,0
2022,Trine University,Michigan,38,0
2022,Millsaps,Southern Athletic,21,49
2022,Lakeland,NACC,20,38
2022,UVA Wise,South Atlantic,41,9
2022,Frostburg State,Mountain East,21,7
2022,Virginia Union,CIAA,77,0
2022,Tennessee,SEC,59,10
2022,Gannon,Pennsylvania State Athletic,47,13
2022,Minnesota Duluth,Northern Sun,31,21
2022,Valdosta State,Gulf South,36,21
2022,Stony Brook,CAA,14,35
2022,Quincy,Great Lakes,15,44
2022,Minnesota State Moorhead,Northern Sun,14,27
2022,Gardner-Webb,Big South,56,21
2022,St. Anselm,Northeast 10,28,10
2022,Wheeling,Mountain East,25,11
2022,Washburn,Mid America,45,3
2022,UCF,American Athletic,56,10
2022,Oklahoma State,Big 12,58,44
2022,Toledo,Mid-American,37,0
2022,Grand Valley State University,GLIAC,25,22
2022,Florida International,Conference USA,38,37
2022,Pittsburgh,ACC,38,31
2022,East Central (OK),Great American,12,29
2022,Oklahoma Baptist,Great American,32,42
2022,Southeastern Oklahoma State,Great American,41,34
2022,Southern Arkansas,Great American,62,31
2022,Southern Nazarene,Great American,26,40
2022,Northern Michigan,GLIAC,24,31
2022,Missouri S&T,Great Lakes,20,43
2022,East Tennessee State,Southern,44,7
2022,Wake Forest,ACC,44,10
2022,Ferris State,GLIAC,36,20
2022,UT Martin,OVC,42,25
2022,Concordia University St Paul,Northern Sun,14,28
2022,Angelo State,Lone Star,35,0
2022,Dickinson State University,,2,17
2022,Abilene Christian,Western Athletic,28,14
2022,Henderson State,Great American,30,13
2022,Pittsburg St,Mid America,21,10
2022,Northwest Missouri St,Mid America,33,19
2022,Weber State,Big Sky,41,5
2022,East Texas A&M,Southland,52,7
2022,Northern Illinois,Mid-American,34,27
2022,Missouri Southern State,Mid America,7,24
2022,Missouri Western,Mid America,35,0
2022,William Jewell,Great Lakes,14,37
2022,Southern Utah,Western Athletic,44,13
2022,Tarleton State,Western Athletic,29,13
2022,Central Arkansas,Atlantic Sun,14,27
2022,Missouri,SEC,52,24
2022,Emporia State University,Mid America,42,17
2022,Purdue,Big Ten,31,35
2022,UAB,Conference USA,59,0
2022,Minnesota,Big Ten,38,0
2022,Arizona State,Pac-12,40,3
2022,San José State,Mountain West,21,17
2022,Fresno State,Mountain West,35,7
2022,Villanova,CAA,45,17
2022,West Chester,Pennsylvania State Athletic,17,16
2022,Salisbury,New Jersey,49,0
2022,Curry College,Commonwealth Coast,20,34
2022,Merrimack,NEC,17,31
2022,Michigan State,Big Ten,35,13
2022,Old Dominion,Sun Belt,20,17
2022,Charlotte,Conference USA,24,41
2022,Eastern Michigan,Mid-American,42,34
2022,Reading,Mid Atlantic,27,59
2022,Worcester St,MSCAC,21,58
2022,Merchant Marine Academy,NEWMAC,7,17
2022,Franklin & Marshall,Centennial,26,7
2022,Fitchburg State,MSCAC,33,28
2022,Hobart College,Liberty League,36,6
2022,Carnegie Mellon,Presidents',35,17
2022,Westfield State,MSCAC,29,30
2022,Springfield,NEWMAC,42,14
2022,Duke,ACC,30,0
2022,Indiana,Big Ten,23,20
2022,Kansas,Big 12,56,10
2022,Colorado,Pac-12,13,38
2022,East Carolina,American Athletic,20,21
2022,Texas A&M,SEC,31,0
2022,Delaware Valley,Mid Atlantic,22,8
2022,Cortland,Empire 8,48,28
2022,Salve Regina,Commonwealth Coast,7,0
2022,Brockport,Empire 8,27,7
2022,Marist,Pioneer,12,43
2022,App State,Sun Belt,61,63
2022,UConn,FBS Independents,28,3
2022,Navy,American Athletic,7,14
2022,Iowa,Big Ten,7,3
2022,Michigan,Big Ten,51,7
2022,Assumption,Northeast 10,3,0
2022,UMass Dartmouth,MSCAC,35,14
2022,Marietta,Ohio,14,13
2022,Case Western Reserve,Presidents',14,54
2022,Wayland Baptist,,14,79
2022,Albion,Michigan,52,0
2022,Charleston Southern,Big South,38,52
2022,Boston College,ACC,21,22
2022,Maryland,Big Ten,31,10
2022,Ohio Dominican,Great Midwest Athletic,28,14
2022,Robert Morris,Big South,20,22
2022,Southwestern University,American Southwest,7,37
2022,Ohio Wesleyan,North Coast,13,21
2022,Bridgewater State,MSCAC,14,51
2022,Allegheny,Presidents',27,42
2022,College Of New Jersey,New Jersey,31,13
2022,SUNY Morrisville,Empire 8,10,0
2022,Plymouth State,MSCAC,20,7
2022,Greensboro College,USA South,48,37
2022,Lafayette,Patriot,6,0
2022,Virginia,ACC,34,17
2022,Saint Vincent,Presidents',21,25
2022,Kentucky State,SIAC,10,33
2022,St. Lawrence,Liberty League,0,27
2022,Rensselaer,Liberty League,14,7
2022,Kenyon,North Coast,33,26
2022,Methodist,USA South,10,27
2022,Gallaudet,ECFC,14,52
2022,Grove City College,Presidents',63,6
2022,Wabash College,North Coast,52,48
2022,Ohio Northern,Ohio,13,16
2022,Ripon,Midwest,13,10
2022,Rockford,NACC,41,14
2022,Kalamazoo,Michigan,21,14
2022,Lycoming,Mid Atlantic,16,45
2022,Sewanee,Southern Athletic,50,0
2022,Coe College,American Rivers,56,7
2022,West Virginia State,Mountain East,29,6
2022,Brevard College,USA South,6,45
2022,Hope College,Michigan,38,34
2022,Bowie State,CIAA,27,20
2022,Washington & Jefferson,Presidents',35,26
2022,McDaniel College,Centennial,27,37
2022,Alfred State,ECFC,17,14
2022,Bethany (WV),Presidents',26,16
2022,Emory & Henry College,South Atlantic,20,27
2022,ERSKINE,South Atlantic,49,2
2022,Truman State,Great Lakes,19,20
2022,Hartwick,Empire 8,31,10
2022,Keystone,ECFC,21,48
2022,Northwood (MI),Great Midwest Athletic,55,13
2022,Air Force,Mountain West,48,17
2022,Franklin Pierce,Northeast 10,7,10
2022,Luther,American Rivers,6,29
2022,William Paterson,New Jersey,28,7
2022,Widener,Mid Atlantic,20,42
2022,Depauw,North Coast,17,14
2022,St John Fisher University,Empire 8,62,21
2022,Gettysburg,Centennial,14,29
2022,Augustana (IL),CCIW,34,28
2022,Post University,Independent DII,34,35
2022,Butler,Pioneer,31,26
2022,Montclair State,New Jersey,27,6
2022,Mount St. Joseph,Heartland,31,28
2022,University of Mount Union,Ohio,65,0
2022,Coast Guard,NEWMAC,10,17
2022,Walsh,Great Midwest Athletic,0,42
2022,Maryville College (TN),USA South,24,31
2022,Millikin,CCIW,28,14
2022,Bethel (MN),Minnesota,41,9
2022,McMurry,American Southwest,9,26
2022,Eureka College,NACC,6,31
2022,Lake Forest College,Midwest,42,7
2022,Concordia University Chicago,NACC,14,34
2022,Wisconsin-Eau Claire,Wisconsin,30,27
2022,Martin Luther,Upper Midwest,14,35
2022,Iowa State,Big 12,42,10
2022,Saint John's (MN),Minnesota,24,10
2022,Central College,American Rivers,44,13
2022,Wisconsin-Oshkosh,Wisconsin,52,13
2022,Knox College,Midwest,26,0
2022,Hendrix College,Southern Athletic,20,0
2022,Texas Lutheran,American Southwest,45,59
2022,Delaware State,MEAC,34,0
2022,Olivet College,Michigan,35,31
2022,Elmhurst,CCIW,0,63
2022,Youngstown State,MVFC,31,14
2022,Minot State,Northern Sun,10,24
2022,Jacksonville State,Atlantic Sun,35,17
2022,Bloomsburg,Pennsylvania State Athletic,30,33
2022,UCLA,Pac-12,45,17
2022,Montana,Big Sky,47,0
2022,Willamette,Northwest,21,44
2022,Lake Erie,Great Midwest Athletic,31,35
2022,Miami,ACC,70,13
2022,Arkansas,SEC,31,24
2022,Marshall,Sun Belt,55,3
2022,North Dakota State,MVFC,56,14
2022,UTSA,Conference USA,35,37
2022,Georgia,SEC,49,3
2022,Oklahoma,Big 12,45,13
2022,Nebraska,Big Ten,38,17
2022,San Diego State,Mountain West,20,38
2022,Wyoming,Mountain West,40,37
2022,Edward Waters,SIAC,34,39
2022,California,Pac-12,34,13
2022,Lewis & Clark College,Northwest,41,15
2022,Eastern Washington,Big Sky,36,29
2022,Northern Colorado,Big Sky,34,46
2022,Shaw,CIAA,7,21
2022,Ole Miss,SEC,28,10
2022,South Florida,American Athletic,21,50
2022,Wisconsin-Lacrosse,Wisconsin,42,7
2022,South Alabama,Sun Belt,48,7
2022,Nevada,Mountain West,38,14
2022,Bucknell,Patriot,13,14
2022,Georgia Southern,Sun Belt,59,7
2022,James Madison,Sun Belt,44,7
2022,Livingstone,CIAA,19,44
2022,Benedict College,SIAC,52,14
2022,Morehouse College,SIAC,16,24
2022,Ohio,Mid-American,41,38
2022,USC,Pac-12,66,14
2022,Alabama State,SWAC,21,13
2022,Washington and Lee,Old Dominion,3,9
2022,Lenoir-Rhyne,South Atlantic,38,19
2022,Newberry,South Atlantic,40,6
2022,Indianapolis,Great Lakes,57,0
2022,Chattanooga,Southern,31,0
2022,Stetson,Pioneer,24,14
2022,Hampton,CAA,31,28
2022,Finlandia University,Upper Midwest,7,52
2022,Randolph-Macon,Old Dominion,49,7
2022,Buena Vista,American Rivers,20,62
2022,Slippery Rock,Pennsylvania State Athletic,42,10
2022,Alderson-Broaddus,Mountain East,28,45
2022,West Georgia,Gulf South,38,7
2022,University of Mary,Northern Sun,28,33
2022,Trinity University TX,Southern Athletic,55,7
2022,Minnesota Morris,Upper Midwest,24,45
2022,Prairie View A&M,SWAC,40,23
2022,Wisconsin-Stevens Pt,Wisconsin,24,31
2022,Incarnate Word,Southland,64,29
2022,Alcorn State,SWAC,27,31
2022,Arkansas State,Sun Belt,58,3
2022,Baylor,Big 12,69,10
2022,Coastal Carolina,Sun Belt,38,28
2022,Kentucky,SEC,37,13
2022,Tulane,American Athletic,42,10
2022,North Park,CCIW,14,23
2022,Austin Peay,Atlantic Sun,63,0
2022,Southern Virginia,USA South,27,52
2022,Mary Hardin-Baylor,American Southwest,62,13
2022,Heidelberg,Ohio,31,0
2022,Valparaiso,Pioneer,20,17
2022,West Florida,Gulf South,52,3
2022,Auburn,SEC,42,16
2022,Vanderbilt,SEC,42,31
2022,Kansas State,Big 12,34,0
2022,Florida,SEC,29,26
2022,Fayetteville State,CIAA,15,13
2022,Albany State GA,SIAC,28,14
2022,Midwestern State,Lone Star,27,59
2022,UT Permian Basin,Lone Star,17,41
2022,Southern Miss,Sun Belt,27,29
2022,Arkansas-Pine Bluff,SWAC,48,42
2022,Louisiana,Sun Belt,24,7
2022,Wisconsin,Big Ten,38,0
2022,Huntingdon College (AL),USA South,34,41
2022,Utica,Empire 8,43,28
2022,Southern,SWAC,86,0
2022,Denison University,North Coast,48,31
2022,Geneva,Presidents',25,33
2022,Ohio State,Big Ten,21,10
2022,North Carolina Central,MEAC,28,13
2022,North Texas,Conference USA,10,48
2022,Alabama,SEC,55,0
2022,Mississippi State,SEC,49,23
2022,South Carolina,SEC,35,14
2022,Western Colorado,Rocky Mountain,6,44
2022,Texas Tech,Big 12,63,10
2022,Stanford,Pac-12,41,10
2022,Monmouth (IL),Midwest,7,34
2022,Northwestern (MN),Upper Midwest,15,23
2022,Syracuse,ACC,31,7
2022,Western New Mexico,Lone Star,34,20
2022,Texas A&M-Kingsville,Lone Star,60,0
2022,New Mexico,Mountain West,41,0
2022,Crown College,Upper Midwest,14,39
2022,Montana State,Big Sky,40,17
2022,Texas,Big 12,52,10
2022,San Diego,Pioneer,58,0
2022,Washington State,Pac-12,24,17
2022,Chapman,So. Cal.,42,21
2022,NEWBERG,Northwest,38,31
2022,Sacramento State,Big Sky,56,33
2022,Oregon State,Pac-12,34,17
2022,Washington,Pac-12,45,20
2022,Hawai'i,Mountain West,17,49
2022,Hanover College,Heartland,29,31
2022,Jackson State,SWAC,59,3
2022,Central State (OH),SIAC,41,21
2022,Tuskegee,SIAC,6,21
2022,Florida State,ACC,24,23
2022,Georgia Tech,ACC,10,41
2022,West Liberty,Mountain East,30,17
2022,Fairmont State,Mountain East,38,40
2022,Quincy,Great Lakes,53,14
2022,Missouri State,MVFC,35,30
2022,Fort Hays State,Mid America,19,35
2022,Nebraska-Kearney,Mid America,28,35
2022,Central Oklahoma,Mid America,21,13
2022,Central Missouri,Mid America,32,40
2022,Merrimack,NEC,45,17
2022,SUNY Maritime,ECFC,17,14
2022,FDU-Florham,Mid Atlantic,28,21
2022,Worcester Polytechnic Institute,NEWMAC,0,24
2022,Nichols College,Commonwealth Coast,71,55
2022,UCF,American Athletic,14,20
2022,New Mexico,Mountain West,14,31
2022,UNC Pembroke,Mountain East,50,26
2022,West Chester,Pennsylvania State Athletic,14,35
2022,Shepherd,Pennsylvania State Athletic,41,7
2022,Army,FBS Independents,38,41
2022,Alfred University,Empire 8,37,43
2022,Arkansas,SEC,44,30
2022,Millersville,Pennsylvania State Athletic,10,16
2022,Northwestern,Big Ten,23,31
2022,Minnesota,Big Ten,62,10
2022,Springfield,NEWMAC,35,38
2022,Framingham State,MSCAC,31,20
2022,Montclair State,New Jersey,6,14
2022,Texas,Big 12,19,20
2022,Ohio State,Big Ten,45,12
2022,Penn State,Big Ten,46,10
2022,Kansas State,Big 12,40,12
2022,Oberlin,North Coast,35,38
2022,Otterbein,Ohio,7,34
2022,Norwich,NEWMAC,19,30
2022,Hiram College,North Coast,21,49
2022,Hilbert College,North Coast,0,63
2022,Cortland,Empire 8,63,7
2022,Duquesne,NEC,34,14
2022,Kutztown University,Pennsylvania State Athletic,24,19
2022,Vanderbilt,SEC,25,45
2022,Anna Maria College,ECFC,63,48
2022,Shorter,Gulf South,34,21
2022,Albion,Michigan,51,2
2022,Georgia State,Sun Belt,28,35
2022,Miami,ACC,30,7
2022,Notre Dame College,Mountain East,27,14
2022,Utica,Empire 8,21,15
2022,Husson,Commonwealth Coast,0,17
2022,NC State,ACC,55,3
2022,Central State (OH),SIAC,21,26
2022,Carson-Newman College,South Atlantic,27,6
2022,Northwood (MI),Great Midwest Athletic,38,0
2022,Wabash College,North Coast,12,56
2022,Central Michigan,Mid-American,24,38
2022,Saginaw Valley State,GLIAC,40,12
2022,Frostburg State,Mountain East,18,7
2022,Grove City College,Presidents',55,17
2022,Fort Valley State,SIAC,9,7
2022,Olivet College,Michigan,54,14
2022,Concordia University Chicago,NACC,45,7
2022,Tiffin,Great Midwest Athletic,28,13
2022,Westminster (PA),Presidents',42,3
2022,Rensselaer,Liberty League,7,10
2022,St. Augustine's,CIAA,14,73
2022,Shippensburg,Pennsylvania State Athletic,36,17
2022,Mississippi College,Gulf South,26,8
2022,Maine,CAA,18,21
2022,Chowan,CIAA,21,23
2022,New Haven,Northeast 10,31,26
2022,Northern Michigan,GLIAC,13,10
2022,Moravian,Centennial,43,28
2022,Gallaudet,ECFC,31,14
2022,Muhlenberg,Centennial,34,21
2022,Stevenson,Mid Atlantic,35,21
2022,Misericordia,Mid Atlantic,38,20
2022,SUNY Morrisville,Empire 8,24,13
2022,Susquehanna,Centennial,39,36
2022,Hampden-Sydney,Old Dominion,27,31
2022,Western New England,Commonwealth Coast,38,14
2022,Saint Vincent,Presidents',21,52
2022,Juniata College,Centennial,19,35
2022,Ferrum,Old Dominion,3,31
2022,Black Hills State,Rocky Mountain,38,19
2022,MIT,NEWMAC,10,13
2022,Stonehill,NEC,76,0
2022,Waynesburg,Presidents',31,45
2022,Presbyterian,Pioneer,21,13
2022,Hartwick,Empire 8,10,17
2022,Lenoir-Rhyne,South Atlantic,5,27
2022,Concord University,Mountain East,21,7
2022,Hope College,Michigan,33,24
2022,Catholic,NEWMAC,7,41
2022,Union (NY),Liberty League,76,7
2022,Biddeford,Commonwealth Coast,38,23
2022,Ursinus,Centennial,29,36
2022,Sewanee,Southern Athletic,0,44
2022,Lebanon Valley,Mid Atlantic,20,21
2022,Kalamazoo,Michigan,24,21
2022,Adrian,Michigan,33,0
2022,Long Island University,NEC,21,38
2022,Ithaca College,Liberty League,24,0
2022,Wisconsin-Whitewater,Wisconsin,28,24
2022,Thiel,Presidents',6,34
2022,Monmouth,CAA,49,52
2022,Coast Guard,NEWMAC,22,16
2022,VMI,Southern,24,14
2022,Wilmington (OH),Ohio,12,13
2022,Utah,Pac-12,73,7
2022,Bridgewater (VA),Old Dominion,58,10
2022,Colorado School Of Mines,Rocky Mountain,27,30
2022,Beloit,Midwest,14,35
2022,Wisconsin-Platteville,Wisconsin,10,7
2022,Hamline University,Minnesota,34,21
2022,Lakeland,NACC,34,41
2022,St. Olaf,Minnesota,55,27
2022,Aurora,NACC,49,16
2022,Grinnell,Midwest,0,48
2022,McKendree,Great Lakes,34,58
2022,St. Norbert,NACC,21,14
2022,Illinois College,Midwest,14,40
2022,Austin,American Southwest,7,23
2022,Illinois Wesleyan,CCIW,45,21
2022,South Dakota Mines,Rocky Mountain,20,27
2022,McMurry,American Southwest,13,27
2022,Greenville,Upper Midwest,40,30
2022,Central College,American Rivers,31,13
2022,Concordia-Wisconsin,NACC,28,14
2022,Augustana University (SD),Northern Sun,30,29
2022,Washington University (St. Louis),CCIW,52,7
2022,Temple,American Athletic,30,14
2022,St. Thomas (MN),Pioneer,32,6
2022,Castleton,ECFC,48,0
2022,Mayville State,,55,48
2022,Westminster College (MO),Upper Midwest,6,41
2022,Ball State,Mid-American,30,37
2022,Saint John's (MN),Minnesota,37,34
2022,Winona State,Northern Sun,25,17
2022,Fort Lewis,Rocky Mountain,12,52
2022,Bloomsburg,Pennsylvania State Athletic,42,3
2022,Carleton,Minnesota,84,20
2022,Drake,Pioneer,14,17
2022,Youngstown State,MVFC,49,16
2022,Sioux Falls,Northern Sun,34,0
2022,Notre Dame,FBS Independents,21,26
2022,Willamette,Northwest,26,14
2022,Albright,Mid Atlantic,14,28
2022,Lane College,SIAC,0,14
2022,Lincoln (MO),Mid America,20,58
2022,St. Anselm,Northeast 10,56,7
2022,Navy,American Athletic,13,37
2022,North Dakota State,MVFC,43,3
2022,Texas A&M,SEC,14,17
2022,Montana State,Big Sky,63,13
2022,Pittsburgh,ACC,27,34
2022,Air Force,Mountain West,41,10
2022,Wisconsin,Big Ten,14,17
2022,Charlotte,Conference USA,21,56
2022,Montana,Big Sky,24,7
2022,Clemson,ACC,35,12
2022,Cincinnati,American Athletic,63,10
2022,Michigan State,Big Ten,52,0
2022,Iowa,Big Ten,7,10
2022,Illinois,Big Ten,24,3
2022,Wyoming,Mountain West,33,10
2022,Bowling Green,Mid-American,57,59
2022,The Citadel,Southern,20,17
2022,North Dakota,MVFC,29,27
2022,Upper Iowa University,Northern Sun,21,24
2022,Colorado State,Mountain West,19,34
2022,Clark Atlanta,SIAC,19,23
2022,Georgia,SEC,33,0
2022,Washington,Pac-12,52,6
2022,Austin Peay,Atlantic Sun,41,0
2022,Texas Tech,Big 12,33,30
2022,Elizabeth City State,CIAA,0,19
2022,California,Pac-12,20,14
2022,Bentley,Northeast 10,41,20
2022,Purdue,Big Ten,56,0
2022,Bethune-Cookman,SWAC,9,33
2022,Whitworth,Northwest,33,7
2022,Claremont-Mudd-Scripps College,So. Cal.,42,0
2022,James Madison,Sun Belt,63,7
2022,Rutgers,Big Ten,66,7
2022,Western Oregon,Lone Star,42,10
2022,Cal Poly,Big Sky,28,27
2022,Valdosta State,Gulf South,40,45
2022,UCLA,Pac-12,45,7
2022,Georgetown,Patriot,19,21
2022,Nevada,Mountain West,41,55
2022,Richmond,CAA,31,21
2022,West Virginia,Big 12,42,55
2022,Allen,SIAC,0,0
2022,Hampton,CAA,42,10
2022,Wofford,Southern,0,26
2022,East Carolina,American Athletic,39,21
2022,Butler,Pioneer,45,10
2022,Wayne State (MI),GLIAC,30,22
2022,Delaware,CAA,35,9
2022,Virginia St,CIAA,28,7
2022,Buffalo,Mid-American,31,37
2022,Florida Atlantic,Conference USA,42,9
2022,North Carolina Central,MEAC,41,0
2022,Stetson,Pioneer,45,14
2022,Coastal Carolina,Sun Belt,31,27
2022,Berry College,Southern Athletic,56,10
2022,William & Mary,CAA,37,21
2022,Alfred State,ECFC,17,30
2022,Morehouse College,SIAC,0,42
2022,Edward Waters,SIAC,28,31
2022,Liberty,FBS Independents,21,14
2022,Miami (OH),Mid-American,31,14
2022,Alma,Michigan,49,7
2022,Florida A&M,SWAC,23,13
2022,BLUEFIELD,,33,41
2022,Anderson (IN),Heartland,0,55
2022,Findlay,Great Midwest Athletic,3,28
2022,Central Connecticut,NEC,10,14
2022,Lock Haven University,Pennsylvania State Athletic,7,49
2022,Bryant,Big South,21,35
2022,Southwest Minnesota State,Northern Sun,14,6
2022,East Stroudsburg University,Pennsylvania State Athletic,35,38
2022,SMU,American Athletic,45,16
2022,Utah State,Mountain West,7,35
2022,Wisconsin-Lutheran,NACC,7,54
2022,Christopher Newport,New Jersey,20,24
2022,Birmingham-Southern,Southern Athletic,35,38
2022,Guilford College,Old Dominion,16,49
2022,Wayne State (NE),Northern Sun,13,6
2022,Troy,Sun Belt,38,17
2022,Ole Miss,SEC,59,3
2022,Louisiana Tech,Conference USA,52,17
2022,Oklahoma,Big 12,33,3
2022,Hillsdale,Great Midwest Athletic,35,17
2022,North Greenville,Gulf South,22,29
2022,UT Permian Basin,Lone Star,34,31
2022,Minnesota State Mankato,Northern Sun,17,10
2022,Northeastern State,Mid America,13,30
2022,Southwest Baptist,Great Lakes,10,49
2022,Benedictine University,NACC,48,26
2022,Davidson,Pioneer,37,17
2022,Houston Christian,Southland,20,21
