Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count,Usage_Bin
2021,4037217,Brandon Chapman,TE,Wake Forest,ACC,0.021,1.73,0.012138728,17,0,0,0.334104046,0.497109827,1,0–5%
2021,4037456,Jovani Haskins,TE,Rutgers,Big Ten,0.028,1.746,0.016036655,16,0,0,0.257159221,0.453608247,1,0–5%
2021,4037532,Garrett Walston,TE,North Carolina,ACC,0.037,2.081,0.017779914,13,0,0,0.305141759,0.487265738,1,0–5%
2021,4037564,Jahcour Pearson,WR,Ole Miss,SEC,0.05,1.698,0.029446408,11,0,0,0.305064782,0.510600707,1,5–10%
2021,4037631,Abdul Adams,RB,Syracuse,ACC,0.05,1.837,0.027218291,7,0,0,0.283070223,0.678279804,1,5–10%
2021,4038438,La'Darren Brown,RB,Oklahoma State,Big 12,0.125,2.221,0.056280955,4,0,0,0.243583971,0.538496173,1,10–15%
2021,4038961,Cam McCormick,TE,Oregon,Pac-12,0.014,1.862,0.007518797,19,0,0,0.307196563,0.591299678,3,0–5%
2021,4039008,Kamari Pleasant,RB,Washington,Pac-12,0.138,2.016,0.068452381,5,0,0,0.267361111,0.461309524,1,10–15%
2021,4039009,Sean McGrew,RB,Washington,Pac-12,0.229,2.016,0.11359127,2,0,1,0.267361111,0.461309524,1,20–25%
2021,4039300,D'Eriq King,QB,Miami,ACC,0.735,2.788,0.263629842,1,1,1,0.263629842,0.551291248,1,50%+
2021,4039468,Andrew Parchment,WR,Florida State,ACC,0.061,1.869,0.032637774,7,0,0,0.26859283,0.593365436,1,5–10%
2021,4039599,Devaughn Cooper,WR,Syracuse,ACC,0.05,1.837,0.027218291,7,0,0,0.283070223,0.678279804,2,5–10%
2021,4040880,Sam Noyer,QB,Oregon State,Pac-12,0.201,1.676,0.119928401,3,0,1,0.259546539,0.534009547,1,20–25%
2021,4042113,McKenzie Milton,QB,Florida State,ACC,0.4,1.869,0.214018192,2,0,1,0.26859283,0.593365436,1,40–50%
2021,4042807,Trevon Bradford,WR,Oregon State,Pac-12,0.078,1.676,0.046539379,6,0,0,0.259546539,0.534009547,1,5–10%
2021,4044122,Anthony Russo,QB,Michigan State,Big Ten,0.098,1.697,0.057748969,5,0,0,0.312905127,0.646434885,1,5–10%
2021,4044454,Donald Stewart,WR,Wake Forest,ACC,0.049,1.73,0.028323699,11,0,0,0.334104046,0.497109827,1,0–5%
2021,4045291,Taysir Mack,WR,Pittsburgh,ACC,0.053,1.807,0.029330382,8,0,0,0.322080797,0.516325401,1,5–10%
2021,4046519,Kekoa Crawford,WR,California,Pac-12,0.078,2.197,0.035502959,5,0,0,0.309512972,0.660901229,1,5–10%
2021,4046586,Nick Lenners,TE,Kansas State,Big 12,0.022,2.012,0.010934394,15,0,0,0.236580517,0.576043738,1,0–5%
2021,4046677,Deon McIntosh,RB,Washington State,Pac-12,0.164,1.942,0.084449022,5,0,0,0.268280124,0.614315139,1,15–20%
2021,4046826,Darien Rencher,RB,Clemson,ACC,0.085,2.213,0.038409399,6,0,0,0.236330773,0.427925892,1,5–10%
2021,4050937,Levi Falck,WR,Nebraska,Big Ten,0.039,1.983,0.019667171,15,0,0,0.278870398,0.455874937,1,0–5%
2021,4051409,Azende Rey,RB,Georgia Tech,ACC,0.014,2.035,0.006879607,17,0,0,0.255036855,0.596068796,1,0–5%
