Season,Team,Conference,Points For,Points Against,Win,Game,Loss
2023,Houston,Big 12,13,36,0,1,1
2023,Clemson,ACC,48,14,1,1,0
2023,Oregon,Pac-12,55,10,1,1,0
2023,Stanford,Pac-12,23,30,0,1,1
2023,Colorado,Pac-12,43,35,1,1,0
2023,Arizona State,Pac-12,0,29,0,1,1
2023,Arizona,Pac-12,31,10,1,1,0
2023,Purdue,Big Ten,17,38,0,1,1
2023,Virginia,ACC,21,24,0,1,1
2023,Cincinnati,Big 12,6,20,0,1,1
2023,Vanderbilt,SEC,28,45,0,1,1
2023,Clemson,ACC,24,31,0,1,1
2023,Syracuse,ACC,29,16,1,1,0
2023,Michigan,Big Ten,31,7,1,1,0
2023,TCU,Big 12,34,17,1,1,0
2023,Texas A&M,SEC,27,10,1,1,0
2023,Michigan State,Big Ten,9,31,0,1,1
2023,Louisville,ACC,56,28,1,1,0
2023,Kansas,Big 12,38,27,1,1,0
2023,Alabama,SEC,24,10,1,1,0
2023,Utah,Pac-12,14,7,1,1,0
2023,Nebraska,Big Ten,28,14,1,1,0
2023,West Virginia,Big 12,20,13,1,1,0
2023,Illinois,Big Ten,23,17,1,1,0
2023,Oregon,Pac-12,42,6,1,1,0
2023,Iowa State,Big 12,34,27,1,1,0
2023,Tennessee,SEC,45,14,1,1,0
2023,Wake Forest,ACC,16,30,0,1,1
2023,Stanford,Pac-12,20,21,0,1,1
2023,LSU,SEC,34,31,1,1,0
2023,Florida,SEC,22,7,1,1,0
2023,Washington State,Pac-12,38,35,1,1,0
2023,Houston,Big 12,38,7,1,1,0
2023,South Carolina,SEC,37,30,1,1,0
2023,Missouri,SEC,34,27,1,1,0
2023,Northwestern,Big Ten,37,34,1,1,0
2023,Georgia,SEC,49,21,1,1,0
2023,Indiana,Big Ten,29,27,1,1,0
2023,Baylor,Big 12,6,38,0,1,1
2023,Penn State,Big Ten,31,0,1,1,0
2023,Kansas State,Big 12,44,31,1,1,0
2023,Pittsburgh,ACC,24,41,0,1,1
2023,Washington,Pac-12,59,32,1,1,0
2023,Arizona State,Pac-12,28,42,0,1,1
2023,NC State,ACC,10,13,0,1,1
2023,Oregon State,Pac-12,21,7,1,1,0
2023,BYU,Big 12,35,27,1,1,0
2023,Northwestern,Big Ten,13,41,0,1,1
2023,Syracuse,ACC,14,31,0,1,1
2023,Arkansas,SEC,22,34,0,1,1
2023,Kentucky,SEC,33,14,1,1,0
2023,Minnesota,Big Ten,35,24,1,1,0
2023,Colorado,Pac-12,41,48,0,1,1
2023,Boston College,ACC,27,24,1,1,0
2023,California,Pac-12,24,21,1,1,0
2023,Georgia Tech,ACC,27,38,0,1,1
2023,Auburn,SEC,20,27,0,1,1
2023,Purdue,Big Ten,44,19,1,1,0
2023,Texas Tech,Big 12,49,28,1,1,0
2023,Nebraska,Big Ten,7,45,0,1,1
2023,UCF,Big 12,35,36,0,1,1
2023,Rutgers,Big Ten,52,3,1,1,0
2023,Texas,Big 12,40,14,1,1,0
2023,Maryland,Big Ten,44,17,1,1,0
2023,Vanderbilt,SEC,21,38,0,1,1
2023,Ole Miss,SEC,55,49,1,1,0
2023,Stanford,Pac-12,6,42,0,1,1
2023,Oklahoma,Big 12,50,20,1,1,0
2023,Iowa,Big Ten,26,16,1,1,0
2023,Tennessee,SEC,41,20,1,1,0
2023,Duke,ACC,14,21,0,1,1
2023,TCU,Big 12,21,24,0,1,1
2023,Virginia Tech,ACC,38,21,1,1,0
2023,Mississippi State,SEC,17,40,0,1,1
2023,Arizona,Pac-12,24,31,0,1,1
2023,Oklahoma State,Big 12,29,21,1,1,0
2023,Illinois,Big Ten,7,20,0,1,1
2023,Virginia,ACC,27,13,1,1,0
2023,Wisconsin,Big Ten,24,13,1,1,0
2023,Texas,Big 12,30,34,0,1,1
2023,Missouri,SEC,39,49,0,1,1
2023,Mississippi State,SEC,41,28,1,1,0
2023,Ohio State,Big Ten,37,17,1,1,0
2023,NC State,ACC,48,41,1,1,0
2023,UCLA,Pac-12,25,17,1,1,0
2023,Northwestern,Big Ten,23,20,1,1,0
2023,Texas A&M,SEC,20,26,0,1,1
2023,Florida State,ACC,39,17,1,1,0
2023,North Carolina,ACC,40,7,1,1,0
2023,Iowa,Big Ten,20,14,1,1,0
2023,Clemson,ACC,17,12,1,1,0
2023,Kansas,Big 12,51,22,1,1,0
2023,Florida,SEC,38,14,1,1,0
2023,Arizona State,Pac-12,24,27,0,1,1
2023,Georgia,SEC,51,13,1,1,0
2023,Ole Miss,SEC,27,20,1,1,0
2023,Minnesota,Big Ten,10,52,0,1,1
2023,Louisville,ACC,33,20,1,1,0
2023,Miami,ACC,20,23,0,1,1
2023,Baylor,Big 12,14,39,0,1,1
2023,Iowa State,Big 12,27,14,1,1,0
2023,California,Pac-12,40,52,0,1,1
2023,USC,Pac-12,43,41,1,1,0
2023,Houston,Big 12,41,39,1,1,0
2023,Colorado,Pac-12,43,46,0,1,1
2023,Vanderbilt,SEC,20,37,0,1,1
2023,Rutgers,Big Ten,27,24,1,1,0
2023,Michigan,Big Ten,52,7,1,1,0
2023,Florida State,ACC,41,3,1,1,0
2023,Alabama,SEC,24,21,1,1,0
2023,Cincinnati,Big 12,10,30,0,1,1
2023,Purdue,Big Ten,7,41,0,1,1
2023,Utah,Pac-12,34,14,1,1,0
2023,Washington,Pac-12,36,33,1,1,0
2023,Tennessee,SEC,20,13,1,1,0
2023,South Carolina,SEC,39,41,0,1,1
2023,Maryland,Big Ten,24,27,0,1,1
2023,Virginia Tech,ACC,30,13,1,1,0
2023,Oklahoma State,Big 12,39,32,1,1,0
2023,TCU,Big 12,44,11,1,1,0
2023,Penn State,Big Ten,63,0,1,1,0
2023,Wisconsin,Big Ten,6,15,0,1,1
2023,Pittsburgh,ACC,38,21,1,1,0
2023,Washington State,Pac-12,6,44,0,1,1
2023,LSU,SEC,48,18,1,1,0
2023,Texas Tech,Big 12,21,38,0,1,1
2023,North Carolina,ACC,41,31,1,1,0
2023,Kentucky,SEC,21,38,0,1,1
2023,Duke,ACC,24,3,1,1,0
2023,Oregon State,Pac-12,36,24,1,1,0
2023,Georgia Tech,ACC,23,38,0,1,1
2023,Oklahoma,Big 12,31,29,1,1,0
2023,Cincinnati,Big 12,29,32,0,1,1
2023,Indiana,Big Ten,14,31,0,1,1
2023,Ohio State,Big Ten,20,12,1,1,0
2023,Arkansas,SEC,3,7,0,1,1
2023,Nebraska,Big Ten,17,9,1,1,0
2023,Wake Forest,ACC,21,17,1,1,0
2023,Alabama,SEC,34,20,1,1,0
2023,Oregon,Pac-12,38,24,1,1,0
2023,Iowa,Big Ten,10,12,0,1,1
2023,West Virginia,Big 12,34,48,0,1,1
2023,Illinois,Big Ten,21,25,0,1,1
2023,Missouri,SEC,34,12,1,1,0
2023,Houston,Big 12,24,31,0,1,1
2023,North Carolina,ACC,27,31,0,1,1
2023,Kansas State,Big 12,41,3,1,1,0
2023,BYU,Big 12,27,14,1,1,0
2023,Auburn,SEC,21,28,0,1,1
2023,Michigan State,Big Ten,0,49,0,1,1
2023,Florida State,ACC,38,20,1,1,0
2023,LSU,SEC,62,0,1,1,0
2023,Miami,ACC,28,20,1,1,0
2023,USC,Pac-12,32,34,0,1,1
2023,Washington,Pac-12,15,7,1,1,0
2023,Stanford,Pac-12,7,42,0,1,1
2023,Virginia Tech,ACC,38,10,1,1,0
2023,Penn State,Big Ten,33,24,1,1,0
2023,Wake Forest,ACC,16,41,0,1,1
2023,Kansas,Big 12,38,33,1,1,0
2023,Kansas State,Big 12,41,0,1,1,0
2023,UCF,Big 12,28,41,0,1,1
2023,Boston College,ACC,21,14,1,1,0
2023,Texas A&M,SEC,30,17,1,1,0
2023,Northwestern,Big Ten,33,27,1,1,0
2023,NC State,ACC,24,17,1,1,0
2023,Utah,Pac-12,6,35,0,1,1
2023,Louisville,ACC,23,0,1,1,0
2023,Texas,Big 12,35,6,1,1,0
2023,Nebraska,Big Ten,31,14,1,1,0
2023,Minnesota,Big Ten,27,12,1,1,0
2023,Florida,SEC,20,43,0,1,1
2023,Miami,ACC,29,26,1,1,0
2023,Baylor,Big 12,18,30,0,1,1
2023,Auburn,SEC,27,13,1,1,0
2023,California,Pac-12,49,50,0,1,1
2023,Kentucky,SEC,27,33,0,1,1
2023,Stanford,Pac-12,33,42,0,1,1
2023,UCLA,Pac-12,28,16,1,1,0
2023,Wisconsin,Big Ten,10,24,0,1,1
2023,Ole Miss,SEC,33,7,1,1,0
2023,Arizona State,Pac-12,38,27,1,1,0
2023,Georgia Tech,ACC,46,42,1,1,0
2023,Oklahoma State,Big 12,45,13,1,1,0
2023,Arizona,Pac-12,27,24,1,1,0
2023,Texas Tech,Big 12,35,28,1,1,0
2023,Duke,ACC,24,21,1,1,0
2023,Syracuse,ACC,10,17,0,1,1
2023,Clemson,ACC,31,23,1,1,0
2023,Texas,Big 12,33,30,1,1,0
2023,Tennessee,SEC,59,3,1,1,0
2023,Ole Miss,SEC,38,35,1,1,0
2023,South Carolina,SEC,38,28,1,1,0
2023,Florida,SEC,36,39,0,1,1
2023,Michigan State,Big Ten,20,17,1,1,0
2023,Indiana,Big Ten,20,14,1,1,0
2023,North Carolina,ACC,59,7,1,1,0
2023,Rutgers,Big Ten,16,35,0,1,1
2023,Virginia,ACC,17,45,0,1,1
2023,Utah,Pac-12,55,3,1,1,0
2023,Northwestern,Big Ten,7,10,0,1,1
2023,Georgia,SEC,30,21,1,1,0
2023,Minnesota,Big Ten,26,27,0,1,1
2023,Maryland,Big Ten,15,51,0,1,1
2023,Cincinnati,Big 12,26,28,0,1,1
2023,Oklahoma State,Big 12,27,24,1,1,0
2023,Baylor,Big 12,24,25,0,1,1
2023,Pittsburgh,ACC,7,24,0,1,1
2023,Louisville,ACC,34,3,1,1,0
2023,Vanderbilt,SEC,15,31,0,1,1
2023,Oregon,Pac-12,63,19,1,1,0
2023,Iowa State,Big 12,21,28,0,1,1
2023,West Virginia,Big 12,37,7,1,1,0
2023,Michigan,Big Ten,41,13,1,1,0
2023,Mississippi State,SEC,3,24,0,1,1
2023,USC,Pac-12,42,52,0,1,1
2023,Alabama,SEC,42,28,1,1,0
2023,NC State,ACC,20,6,1,1,0
2023,Washington State,Pac-12,7,10,0,1,1
2023,Colorado,Pac-12,19,26,0,1,1
2023,Arizona,Pac-12,27,10,1,1,0
2023,Louisville,ACC,31,24,1,1,0
2023,Kentucky,SEC,21,49,0,1,1
2023,Kansas,Big 12,13,16,0,1,1
2023,Illinois,Big Ten,48,45,1,1,0
2023,Clemson,ACC,42,21,1,1,0
2023,Boston College,ACC,22,48,0,1,1
2023,Nebraska,Big Ten,10,13,0,1,1
2023,South Carolina,SEC,47,6,1,1,0
2023,Penn State,Big Ten,15,24,0,1,1
2023,Colorado,Pac-12,31,34,0,1,1
2023,Wake Forest,ACC,6,26,0,1,1
2023,Kansas State,Big 12,59,25,1,1,0
2023,Iowa,Big Ten,22,0,1,1,0
2023,Syracuse,ACC,28,13,1,1,0
2023,Missouri,SEC,36,7,1,1,0
2023,UCF,Big 12,45,3,1,1,0
2023,Wisconsin,Big Ten,10,24,0,1,1
2023,Purdue,Big Ten,49,30,1,1,0
2023,Florida State,ACC,27,20,1,1,0
2023,Washington,Pac-12,35,28,1,1,0
2023,California,Pac-12,42,39,1,1,0
2023,Arkansas,SEC,10,48,0,1,1
2023,Oregon State,Pac-12,62,17,1,1,0
2023,Houston,Big 12,14,24,0,1,1
2023,Georgia,SEC,52,17,1,1,0
2023,Oklahoma,Big 12,59,20,1,1,0
2023,Texas A&M,SEC,51,10,1,1,0
2023,LSU,SEC,52,35,1,1,0
2023,Ohio State,Big Ten,38,3,1,1,0
2023,TCU,Big 12,26,29,0,1,1
2023,North Carolina,ACC,47,45,1,1,0
2023,UCLA,Pac-12,7,17,0,1,1
2023,BYU,Big 12,13,45,0,1,1
2023,Oregon,Pac-12,36,27,1,1,0
2023,Pittsburgh,ACC,24,16,1,1,0
2023,Washington State,Pac-12,56,14,1,1,0
2023,Miami,ACC,31,38,0,1,1
2023,BYU,Big 12,24,31,0,1,1
2023,Northwestern,Big Ten,23,15,1,1,0
2023,Indiana,Big Ten,21,24,0,1,1
2023,Maryland,Big Ten,24,31,0,1,1
2023,Penn State,Big Ten,27,6,1,1,0
2023,Ole Miss,SEC,35,3,1,1,0
2023,Alabama,SEC,66,10,1,1,0
2023,Texas A&M,SEC,38,10,1,1,0
2023,Mississippi State,SEC,41,20,1,1,0
2023,West Virginia,Big 12,42,21,1,1,0
2023,Arizona,Pac-12,42,18,1,1,0
2023,Virginia,ACC,30,27,1,1,0
2023,Tennessee,SEC,10,38,0,1,1
2023,USC,Pac-12,20,38,0,1,1
2023,Clemson,ACC,31,20,1,1,0
2023,Virginia Tech,ACC,28,35,0,1,1
2023,TCU,Big 12,42,17,1,1,0
2023,Iowa,Big Ten,15,13,1,1,0
2023,Arizona State,Pac-12,13,49,0,1,1
2023,Auburn,SEC,10,31,0,1,1
2023,Ohio State,Big Ten,37,3,1,1,0
2023,Houston,Big 12,30,43,0,1,1
2023,Texas Tech,Big 12,24,23,1,1,0
2023,Florida State,ACC,58,13,1,1,0
2023,Stanford,Pac-12,15,27,0,1,1
2023,Kansas,Big 12,27,31,0,1,1
2023,South Carolina,SEC,17,14,1,1,0
2023,Oregon State,Pac-12,20,22,0,1,1
2023,Missouri,SEC,33,31,1,1,0
2023,Arkansas,SEC,44,20,1,1,0
2023,Wisconsin,Big Ten,24,17,1,1,0
2023,Georgia Tech,ACC,31,22,1,1,0
2023,Iowa State,Big 12,16,26,0,1,1
2023,LSU,SEC,56,14,1,1,0
2023,Mississippi State,SEC,7,17,0,1,1
2023,Oklahoma,Big 12,69,45,1,1,0
2023,Boston College,ACC,20,45,0,1,1
2023,Nebraska,Big Ten,10,13,0,1,1
2023,Arkansas,SEC,14,48,0,1,1
2023,Texas,Big 12,57,7,1,1,0
2023,Michigan State,Big Ten,0,42,0,1,1
2023,Oregon,Pac-12,31,7,1,1,0
2023,Louisville,ACC,31,38,0,1,1
2023,Duke,ACC,30,19,1,1,0
2023,Michigan,Big Ten,30,24,1,1,0
2023,Purdue,Big Ten,35,31,1,1,0
2023,LSU,SEC,42,30,1,1,0
2023,UCF,Big 12,27,13,1,1,0
2023,Syracuse,ACC,35,31,1,1,0
2023,Utah,Pac-12,23,17,1,1,0
2023,Oklahoma State,Big 12,40,34,1,1,0
2023,Arizona State,Pac-12,23,59,0,1,1
2023,Auburn,SEC,24,27,0,1,1
2023,Minnesota,Big Ten,14,28,0,1,1
2023,Virginia,ACC,17,55,0,1,1
2023,Tennessee,SEC,48,24,1,1,0
2023,Rutgers,Big Ten,24,42,0,1,1
2023,Illinois,Big Ten,43,45,0,1,1
2023,Washington,Pac-12,24,21,1,1,0
2023,Florida,SEC,15,24,0,1,1
2023,Baylor,Big 12,31,34,0,1,1
2023,Stanford,Pac-12,23,56,0,1,1
2023,Georgia Tech,ACC,23,31,0,1,1
2023,Cincinnati,Big 12,16,49,0,1,1
2023,South Carolina,SEC,7,16,0,1,1
2023,Kansas State,Big 12,35,42,0,1,1
2023,NC State,ACC,39,20,1,1,0
2023,UCLA,Pac-12,7,33,0,1,1
2023,Washington,Pac-12,34,31,1,1,0
2023,Texas,Big 12,49,21,1,1,0
2023,Alabama,SEC,27,24,1,1,0
2023,Iowa,Big Ten,0,26,0,1,1
2023,Florida State,ACC,16,6,1,1,0
2023,NC State,ACC,24,14,1,1,0
2023,Florida,SEC,11,24,0,1,1
2023,Nebraska,Big Ten,10,13,0,1,1
2023,Louisville,ACC,39,34,1,1,0
2023,Stanford,Pac-12,37,24,1,1,0
2023,Virginia,ACC,13,49,0,1,1
2023,Colorado,Pac-12,45,42,1,1,0
2023,Ohio State,Big Ten,23,3,1,1,0
2023,California,Pac-12,58,21,1,1,0
2023,Washington State,Pac-12,50,24,1,1,0
2023,West Virginia,Big 12,15,38,0,1,1
2023,Texas Tech,Big 12,33,35,0,1,1
2023,South Carolina,SEC,17,31,0,1,1
2023,Northwestern,Big Ten,7,24,0,1,1
2023,Oregon State,Pac-12,42,17,1,1,0
2023,LSU,SEC,24,45,0,1,1
2023,Clemson,ACC,7,28,0,1,1
2023,Illinois,Big Ten,23,34,0,1,1
2023,Vanderbilt,SEC,20,36,0,1,1
2023,Purdue,Big Ten,24,17,1,1,0
2023,Utah,Pac-12,20,13,1,1,0
2023,Nebraska,Big Ten,14,36,0,1,1
2023,Texas A&M,SEC,33,48,0,1,1
2023,Iowa,Big Ten,20,13,1,1,0
2023,Ole Miss,SEC,37,20,1,1,0
2023,Cincinnati,Big 12,27,21,1,1,0
2023,Houston,Big 12,41,43,0,1,1
2023,Oregon,Pac-12,38,30,1,1,0
2023,Texas,Big 12,34,24,1,1,0
2023,UCF,Big 12,18,16,1,1,0
2023,UCLA,Pac-12,35,10,1,1,0
2023,Arizona,Pac-12,24,31,0,1,1
2023,Wisconsin,Big Ten,22,31,0,1,1
2023,Auburn,SEC,14,10,1,1,0
2023,Oklahoma State,Big 12,27,15,1,1,0
2023,Stanford,Pac-12,10,56,0,1,1
2023,Virginia,ACC,14,42,0,1,1
2023,LSU,SEC,41,14,1,1,0
2023,Kansas State,Big 12,27,30,0,1,1
2023,Penn State,Big Ten,30,13,1,1,0
2023,Iowa State,Big 12,7,10,0,1,1
2023,Louisville,ACC,21,14,1,1,0
2023,Florida State,ACC,31,29,1,1,0
2023,Wake Forest,ACC,27,24,1,1,0
2023,Alabama,SEC,17,3,1,1,0
2023,Oklahoma,Big 12,66,17,1,1,0
2023,Virginia Tech,ACC,16,35,0,1,1
2023,Minnesota,Big Ten,13,31,0,1,1
2023,South Carolina,SEC,14,24,0,1,1
2023,Northwestern,Big Ten,14,38,0,1,1
2023,Washington,Pac-12,41,7,1,1,0
2023,Vanderbilt,SEC,37,40,0,1,1
2023,Tennessee,SEC,16,29,0,1,1
2023,Syracuse,ACC,35,20,1,1,0
2023,Pittsburgh,ACC,6,17,0,1,1
2023,BYU,Big 12,38,31,1,1,0
2023,Georgia Tech,ACC,23,48,0,1,1
2023,TCU,Big 12,36,13,1,1,0
2023,Kansas,Big 12,31,24,1,1,0
2023,Wisconsin,Big Ten,38,17,1,1,0
2023,NC State,ACC,24,21,1,1,0
2023,Oklahoma,Big 12,20,6,1,1,0
2023,Kentucky,SEC,45,28,1,1,0
2023,Florida State,ACC,31,24,1,1,0
2023,Virginia Tech,ACC,17,24,0,1,1
2023,Rutgers,Big Ten,7,31,0,1,1
2023,Auburn,SEC,10,27,0,1,1
2023,Maryland,Big Ten,31,9,1,1,0
2023,Boston College,ACC,28,56,0,1,1
2023,Duke,ACC,41,7,1,1,0
2023,BYU,Big 12,27,38,0,1,1
2023,Ole Miss,SEC,10,24,0,1,1
2023,UCLA,Pac-12,7,14,0,1,1
2023,Miami,ACC,41,7,1,1,0
2023,Texas Tech,Big 12,13,20,0,1,1
2023,Colorado,Pac-12,6,42,0,1,1
2023,Oklahoma State,Big 12,27,34,0,1,1
2023,Georgia Tech,ACC,30,16,1,1,0
2023,Arizona,Pac-12,21,20,1,1,0
2023,Arkansas,SEC,31,34,0,1,1
2023,Oregon State,Pac-12,35,38,0,1,1
2023,Mississippi State,SEC,30,37,0,1,1
2023,Minnesota,Big Ten,34,37,0,1,1
2023,Ohio State,Big Ten,17,14,1,1,0
2023,Texas,Big 12,38,6,1,1,0
2023,Iowa,Big Ten,0,31,0,1,1
2023,UCF,Big 12,31,44,0,1,1
2023,North Carolina,ACC,41,24,1,1,0
2023,California,Pac-12,32,59,0,1,1
2023,USC,Pac-12,42,28,1,1,0
2023,Louisville,ACC,13,10,1,1,0
2023,Utah,Pac-12,7,21,0,1,1
2023,Cincinnati,Big 12,27,35,0,1,1
2023,Penn State,Big Ten,41,13,1,1,0
2023,Clemson,ACC,31,14,1,1,0
2023,Texas A&M,SEC,34,22,1,1,0
2023,Florida,SEC,14,33,0,1,1
2023,USC,Pac-12,48,41,1,1,0
2023,Virginia,ACC,24,27,0,1,1
2023,Arizona State,Pac-12,21,24,0,1,1
2023,Georgia,SEC,27,20,1,1,0
2023,Illinois,Big Ten,19,44,0,1,1
2023,Houston,Big 12,28,49,0,1,1
2023,Michigan,Big Ten,45,7,1,1,0
2023,Baylor,Big 12,36,35,1,1,0
2023,Kansas,Big 12,14,40,0,1,1
2023,Indiana,Big Ten,17,44,0,1,1
2023,Missouri,SEC,38,21,1,1,0
2023,LSU,SEC,49,55,0,1,1
2023,Oregon,Pac-12,42,6,1,1,0
2023,Iowa State,Big 12,20,50,0,1,1
2023,Michigan State,Big Ten,16,26,0,1,1
2023,South Carolina,SEC,20,41,0,1,1
2023,West Virginia,Big 12,24,21,1,1,0
2023,Pittsburgh,ACC,21,38,0,1,1
2023,Alabama,SEC,40,17,1,1,0
2023,Washington,Pac-12,31,24,1,1,0
2023,Kansas State,Big 12,21,29,0,1,1
2023,Nebraska,Big Ten,20,7,1,1,0
2023,Rutgers,Big Ten,13,24,0,1,1
2023,Oklahoma,Big 12,34,30,1,1,0
2023,Boston College,ACC,27,24,1,1,0
2023,LSU,SEC,49,39,1,1,0
2023,Maryland,Big Ten,17,37,0,1,1
2023,Washington State,Pac-12,17,25,0,1,1
2023,Alabama,SEC,26,20,1,1,0
2023,Virginia Tech,ACC,17,39,0,1,1
2023,Syracuse,ACC,7,40,0,1,1
2023,Purdue,Big Ten,14,20,0,1,1
2023,Wake Forest,ACC,12,17,0,1,1
2023,UCF,Big 12,22,51,0,1,1
2023,Vanderbilt,SEC,14,38,0,1,1
2023,Colorado,Pac-12,27,24,1,1,0
2023,Kentucky,SEC,13,51,0,1,1
2023,Arkansas,SEC,20,27,0,1,1
2023,Michigan,Big Ten,52,10,1,1,0
2023,Georgia Tech,ACC,23,20,1,1,0
2023,Texas Tech,Big 12,39,14,1,1,0
2023,TCU,Big 12,14,27,0,1,1
2023,Oregon State,Pac-12,52,40,1,1,0
2023,Arizona,Pac-12,41,43,0,1,1
2023,West Virginia,Big 12,39,41,0,1,1
2023,Stanford,Pac-12,46,43,1,1,0
2023,Georgia,SEC,37,20,1,1,0
2023,Michigan State,Big Ten,24,27,0,1,1
2023,Indiana,Big Ten,7,52,0,1,1
2023,Syracuse,ACC,3,41,0,1,1
2023,Arkansas,SEC,21,24,0,1,1
2023,Iowa State,Big 12,30,10,1,1,0
2023,Ohio State,Big Ten,41,7,1,1,0
2023,California,Pac-12,14,34,0,1,1
2023,Oregon,Pac-12,33,36,0,1,1
2023,Texas A&M,SEC,13,20,0,1,1
2023,Florida,SEC,41,39,1,1,0
2023,Illinois,Big Ten,27,24,1,1,0
2023,Wake Forest,ACC,13,30,0,1,1
2023,Kansas,Big 12,32,39,0,1,1
2023,BYU,Big 12,11,44,0,1,1
2023,Iowa,Big Ten,15,6,1,1,0
2023,Louisville,ACC,21,38,0,1,1
2023,Arizona,Pac-12,44,6,1,1,0
2023,Auburn,SEC,18,48,0,1,1
2023,Kansas State,Big 12,38,21,1,1,0
2023,Miami,ACC,31,41,0,1,1
2023,Missouri,SEC,38,21,1,1,0
2023,USC,Pac-12,20,48,0,1,1
2023,NC State,ACC,3,24,0,1,1
2023,UCLA,Pac-12,24,36,0,1,1
2023,Boston College,ACC,38,23,1,1,0
2023,UCF,Big 12,29,31,0,1,1
2023,Baylor,Big 12,32,29,1,1,0
2023,Rutgers,Big Ten,31,14,1,1,0
2023,Penn State,Big Ten,12,20,0,1,1
2023,Mississippi State,SEC,7,3,1,1,0
2023,Northwestern,Big Ten,9,17,0,1,1
2023,Pittsburgh,ACC,17,21,0,1,1
2023,Tennessee,SEC,20,34,0,1,1
2023,Washington State,Pac-12,24,38,0,1,1
2023,Minnesota,Big Ten,12,10,1,1,0
2023,Oklahoma State,Big 12,48,34,1,1,0
2023,Wisconsin,Big Ten,25,21,1,1,0
2023,South Carolina,SEC,12,34,0,1,1
2023,Texas,Big 12,31,24,1,1,0
2023,Virginia,ACC,31,27,1,1,0
2023,TCU,Big 12,3,41,0,1,1
2023,Texas Tech,Big 12,14,27,0,1,1
2023,Ole Miss,SEC,28,21,1,1,0
2023,Michigan,Big Ten,49,0,1,1,0
2023,Duke,ACC,20,38,0,1,1
2023,Clemson,ACC,20,28,0,1,1
2023,Utah,Pac-12,34,32,1,1,0
2023,Arizona State,Pac-12,7,15,0,1,1
2023,UCLA,Pac-12,42,7,1,1,0
2023,Syracuse,ACC,10,38,0,1,1
2023,Indiana,Big Ten,24,33,0,1,1
2023,Florida State,ACC,41,16,1,1,0
2023,Oklahoma,Big 12,33,38,0,1,1
2023,Houston,Big 12,0,41,0,1,1
2023,West Virginia,Big 12,41,28,1,1,0
2023,South Carolina,SEC,17,30,0,1,1
2023,Maryland,Big Ten,27,33,0,1,1
2023,Clemson,ACC,17,24,0,1,1
2023,Oregon,Pac-12,35,6,1,1,0
2023,Duke,ACC,0,23,0,1,1
2023,BYU,Big 12,6,35,0,1,1
2023,Purdue,Big Ten,14,31,0,1,1
2023,Michigan State,Big Ten,12,27,0,1,1
2023,Georgia,SEC,43,20,1,1,0
2023,Pittsburgh,ACC,7,58,0,1,1
2023,Virginia,ACC,26,29,0,1,1
2023,Iowa State,Big 12,30,18,1,1,0
2023,Mississippi State,SEC,13,27,0,1,1
2023,USC,Pac-12,50,49,1,1,0
2023,Tennessee,SEC,33,27,1,1,0
2023,Washington,Pac-12,42,33,1,1,0
2023,Colorado,Pac-12,16,28,0,1,1
2023,Ohio State,Big Ten,24,10,1,1,0
2023,Vanderbilt,SEC,7,33,0,1,1
2023,Washington State,Pac-12,27,38,0,1,1
2023,North Carolina,ACC,42,46,0,1,1
2023,Cincinnati,Big 12,13,45,0,1,1
2023,Oregon State,Pac-12,24,27,0,1,1
2023,TCU,Big 12,28,35,0,1,1
2023,Wake Forest,ACC,21,24,0,1,1
2023,Boston College,ACC,17,10,1,1,0
2023,Kansas State,Big 12,30,33,0,1,1
2023,Texas A&M,SEC,35,38,0,1,1
2023,Arkansas,SEC,39,36,1,1,0
2023,Nebraska,Big Ten,17,20,0,1,1
2023,Wisconsin,Big Ten,14,20,0,1,1
2023,Ohio State,Big Ten,35,16,1,1,0
2023,Georgia Tech,ACC,45,17,1,1,0
2023,Arizona State,Pac-12,3,55,0,1,1
2023,Iowa,Big Ten,10,7,1,1,0
2023,Missouri,SEC,21,30,0,1,1
2023,Illinois,Big Ten,27,26,1,1,0
2023,Penn State,Big Ten,51,15,1,1,0
2023,UCF,Big 12,28,26,1,1,0
2023,Oklahoma,Big 12,24,27,0,1,1
2023,Houston,Big 12,25,24,1,1,0
2023,Florida State,ACC,24,7,1,1,0
2023,Virginia Tech,ACC,3,34,0,1,1
2023,Auburn,SEC,31,15,1,1,0
2023,California,Pac-12,19,63,0,1,1
2023,Kansas,Big 12,28,21,1,1,0
2023,BYU,Big 12,7,37,0,1,1
2023,Purdue,Big Ten,13,41,0,1,1
2023,Kentucky,SEC,24,3,1,1,0
2023,Washington,Pac-12,52,42,1,1,0
2023,LSU,SEC,28,42,0,1,1
2023,Miami,ACC,6,20,0,1,1
2023,Stanford,Pac-12,10,7,1,1,0
2023,Oregon State,Pac-12,26,19,1,1,0
2023,UCLA,Pac-12,10,27,0,1,1
2023,Virginia,ACC,24,31,0,1,1
2023,Alabama,SEC,49,21,1,1,0
2023,Texas Tech,Big 12,16,13,1,1,0
2023,Indiana,Big Ten,45,48,0,1,1
2023,Georgia Tech,ACC,21,42,0,1,1
2023,Virginia Tech,ACC,48,22,1,1,0
2023,Maryland,Big Ten,13,10,1,1,0
2023,Vanderbilt,SEC,6,47,0,1,1
2023,Michigan,Big Ten,24,15,1,1,0
2023,Arizona,Pac-12,34,31,1,1,0
2023,NC State,ACC,26,6,1,1,0
